"rule_id","family","rule_text","system_action","normalized_status","source_or_open_note","professional_owner","rule_set_version","effective_from","acceptance_test_id"
"ING-001","א. קליטה, שלמות וסיווג רשומות","קובץ מקור נשמר ללא שינוי ומקבל Hash/Export ID.","קליטה כפולה נדחית; עיבוד חוזר יוצר גרסה חדשה.","WORKING_DECISION","החלטת עבודה","","","",""
"ING-002","א. קליטה, שלמות וסיווג רשומות","נדרשים Run ID, Sample/Aliquot ID, Method Version, Element, Line, View, Curve, ריכוז, מיהול, ריכוז סופי, יחידות, סוג רשומה וזמן.","שדה קריטי חסר → HOLD או דחיית הקובץ לפי חומרה.","OPEN_DECISION","לאשר רשימת חובה","","","",""
"ING-003","א. קליטה, שלמות וסיווג רשומות","יש לייצא את כל הקווים והעקומים המועמדים, לא רק את הנבחרים.","אם חסרים מועמדים — אין בחירה אוטומטית; מעבר לטיפול.","WORKING_DECISION","החלטת עבודה","","","",""
"CLS-001","א. קליטה, שלמות וסיווג רשומות","סוג רשומה מזוהה לפי קוד מוסכם: CAL/ICV/CCV/Blank/Sample/Spike/Duplicate וכו'.","ניתוב למסלול התוצאה ולמודול QA המתאים.","OPEN_DECISION","נדרש מילון קודים","","","",""
"CLS-002","א. קליטה, שלמות וסיווג רשומות","Spike/Duplicate מקושרים במפורש לדגימת המקור.","אין לבצע התאמה לפי שם בלבד; קישור חסר → HOLD.","WORKING_DECISION","החלטת עבודה","","","",""
"CAL-001","ב. עקומי כיול ובחירת העקום המתאים לריכוז","עקום כיול נמדד מדי יום עבודה אנליטי.","עקום מחוץ לתוקף הזמן אינו מועמד.","SOP_CONFIRMED","SOP §10.9","","","",""
"CAL-002","ב. עקומי כיול ובחירת העקום המתאים לריכוז","לפחות 3 סטנדרטים כולל Blank; כל עקום כולל Blank.","עקום שאינו עומד בתנאי → FAIL.","SOP_CONFIRMED","SOP §10.9 / Table 1","","","",""
"CAL-003","ב. עקומי כיול ובחירת העקום המתאים לריכוז","R² > 0.990 לעקום לינארי או מסדר שני.","ערך שאינו עומד בתנאי → FAIL לעקום.","SOP_CONFIRMED","SOP §10.9","","","",""
"CAL-004","ב. עקומי כיול ובחירת העקום המתאים לריכוז","הסטנדרט הנמוך יהיה ברמת LLOQ או מתחתיה.","עקום שאינו מכסה את קצה הכימות → FAIL/בדיקה.","SOP_CONFIRMED","SOP §10.9","","","",""
"CAL-005","ב. עקומי כיול ובחירת העקום המתאים לריכוז","בחירת עקום נעשית לפי הריכוז הנמדד לפני הכפלת פקטור המיהול.","נבחר רק עקום שטווחו מכיל את הריכוז בתמיסה.","WORKING_DECISION","לוגיקה נדרשת","","","",""
"CAL-006","ב. עקומי כיול ובחירת העקום המתאים לריכוז","כאשר קיימים כמה עקומים תקינים לאותו קו, מופעלת טבלת עדיפות לפי תחום ריכוז.","אין עדיפות או קיימת חפיפה לא פתורה → WARNING.","OPEN_DECISION","נדרשת טבלת Curve Priority","","","",""
"CAL-007","ב. עקומי כיול ובחירת העקום המתאים לריכוז","הסרת נקודת כיול מותרת רק לפי כלל מאושר; נמסר שניתן להסיר נקודה שאינה קצה.","נשמרים העקום המקורי והעקום שנבחר, הנקודה שהוסרה, משתמש, זמן וסיבה.","OPEN_DECISION","לא מופיע ב־SOP הנוכחי","","","",""
"CAL-008","ב. עקומי כיול ובחירת העקום המתאים לריכוז","כל תוצאה מקושרת ל־Calibration Snapshot: מזהה, משוואה, טווח, R², נקודות פעילות וסטטוס.","ה־Snapshot נשמר גם אם נתוני האב משתנים בעתיד.","WORKING_DECISION","עקיבות","","","",""
"LIN-001","ג. בחירת קו ספקטרלי ו־Axial/Radial","רק קו ומבט המותרים בגרסת השיטה יכולים להיבחר.","מועמד שאינו מאושר נפסל ונרשמת סיבה.","SOP_CONFIRMED","SOP Table 1","","","",""
"LIN-002","ג. בחירת קו ספקטרלי ו־Axial/Radial","Axial/Radial הוא חלק בלתי נפרד מזהות הקריאה; R בטבלה מציין Radial.","אין לאחד תוצאות של אותו אורך גל במבטים שונים.","SOP_CONFIRMED","SOP Table 1","","","",""
"LIN-003","ג. בחירת קו ספקטרלי ו־Axial/Radial","הריכוז הנמדד חייב להימצא בטווח הדיווח של הקו.","מחוץ לטווח → הקו נפסל; אם אין חלופה → HOLD/מיהול חוזר.","SOP_CONFIRMED","SOP Table 1","","","",""
"LIN-004","ג. בחירת קו ספקטרלי ו־Axial/Radial","אם כמה קווים עומדים בכל התנאים, נבחר הקו בעל Priority הגבוה ביותר.","העדיפות נשמרת כנתון אב לפי Method × Element × Range.","OPEN_DECISION","נדרשת היררכיה","","","",""
"LIN-005","ג. בחירת קו ספקטרלי ו־Axial/Radial","אם כמה קווים תקינים נותנים תוצאות שונות מעבר לסף מוסכם.","WARNING/FAIL לפי הסף; נדרשת סקירה של ספקטרום/הפרעה.","OPEN_DECISION","נדרש סף השוואה","","","",""
"LIN-006","ג. בחירת קו ספקטרלי ו־Axial/Radial","קו חלופי יכול להיבחר עקב תחום, רוויה או הפרעה רק לפי סיבה מקודדת.","הבחירה והסיבה נשמרות; שינוי לאחר שמירה יוצר Revision.","WORKING_DECISION","החלטת עבודה","","","",""
"CON-001","ד. ריכוז, מיהול, תחום ודיווח","נשמרים בנפרד “ריכוז”, Dilution Factor ו“ריכוז סופי”.","אין לדרוס את הריכוז שקדם למיהול.","WORKING_DECISION","החלטת עבודה","","","",""
"CON-002","ד. ריכוז, מיהול, תחום ודיווח","המערכת מחשבת מחדש: ריכוז × פקטור מיהול.","אי־התאמה מעבר לסבילות מאושרת → FAIL/HOLD.","OPEN_DECISION","נדרשת סבילות","","","",""
"CON-003","ד. ריכוז, מיהול, תחום ודיווח","פקטור מיהול חייב להיות חיובי, מתועד ומקושר למנת עבודה/הרצה.","פקטור חסר או בלתי סביר → HOLD.","WORKING_DECISION","עקיבות","","","",""
"CON-004","ד. ריכוז, מיהול, תחום ודיווח","תוצאה מעל תחום העקום/הקו אינה משתחררת אוטומטית.","נפתחת משימת מיהול ומדידה חוזרת.","SOP_CONFIRMED","SOP §9.3, §12","","","",""
"CON-005","ד. ריכוז, מיהול, תחום ודיווח","הדיווח מוגבל לעד שתי ספרות משמעותיות.","העיגול מתבצע בשכבת הדיווח; הערך המלא נשמר.","SOP_CONFIRMED","SOP §12.1","","","",""
"CON-006","ד. ריכוז, מיהול, תחום ודיווח","תוצאה מתחת ל־LLOQ/שלילית מטופלת לפי כלל דיווח מאושר.","אין להמציא אפס; נשמר הערך ונוצר Reported Qualifier מתאים.","OPEN_DECISION","כלל דיווח חסר","","","",""
"QC-001","ה. GO / NO-GO לכיול, בקרות ומקטע ההרצה","ICV בטווח ±10% מן הערך האמיתי וממקור נפרד מסטנדרטי הכיול.","כשל → הכיול אינו מאומת.","SOP_CONFIRMED","SOP §9.6","","","",""
